128,Steve Nash,PHX,23,190.5,88.45044,Santa Clara,Canada,1996,1,15,65,3.3,1,2.1,-8.5,0.026,0.083,0.17,0.539,0.301,1996-97
129,Steve Kerr,CHI,31,190.5,81.64656,Arizona,USA,1988,2,50,82,8.1,1.6,2.1,10.1,0.018,0.062,0.13,0.667,0.14,1996-97
130,Steve Hamer,BOS,23,213.36,111.13004,Tennessee,USA,1996,2,38,35,2.2,1.7,0.2,-3.1,0.065,0.181,0.126,0.545,0.037,1996-97
131,Stephon Marbury,MIN,20,187.96,81.64656,Georgia Tech,USA,1996,1,4,67,15.8,2.7,7.8,-3.1,0.028,0.066,0.244,0.519,0.373,1996-97
132,Stephen Howard,UTA,26,205.74,111.13004,DePaul,USA,1900,1900,1900,49,3.6,1.7,0.2,0.1,0.094,0.164,0.187,0.613,0.046,1996-97
133,Stanley Roberts,LAC,27,213.36,131.54168,Louisiana State,USA,1991,1,23,18,9.5,5.1,0.5,2.6,0.071,0.218,0.238,0.485,0.049,1996-97
134,Tom Hammonds,DEN,30,205.74,102.0582,Georgia Tech,USA,1989,1,9,81,6.2,5,0.8,-7.3,0.09,0.172,0.142,0.534,0.058,1996-97
135,Toni Kukoc,CHI,28,210.82,105.233344,None,Croatia,1990,2,29,57,13.2,4.6,4.5,15.2,0.069,0.12,0.214,0.553,0.232,1996-97
136,Tony Delk,CHH,23,187.96,85.728888,Kentucky,USA,1996,1,16,61,5.4,1.6,1.6,0.9,0.044,0.09,0.182,0.596,0.187,1996-97
137,Tony Dumas,PHX,24,198.12,86.18248,Missouri-Kansas City,USA,1994,1,19,24,3.6,0.7,1,-4.1,0.012,0.055,0.199,0.402,0.134,1996-97
138,Xavier McDaniel,NJN,34,200.66,98.883056,Wichita State,USA,1985,1,4,62,5.6,5.1,1,-0.8,0.113,0.182,0.168,0.439,0.085,1996-97
139,Willie Burton,ATL,29,203.2,95.25432,Minnesota,USA,1990,1,9,24,6.2,1.7,0.5,-4.8,0.033,0.097,0.21,0.507,0.056,1996-97
140,Willie Anderson,MIA,30,203.2,90.7184,Georgia,USA,1988,1,10,28,3,1.5,1.2,-1,0.06,0.118,0.146,0.57,0.191,1996-97
141,Will Perdue,SAS,31,213.36,108.86208,Vanderbilt,USA,1988,1,11,65,8.7,9.8,0.6,-4.7,0.155,0.25,0.139,0.582,0.033,1996-97
142,Wesley Person,PHX,26,198.12,88.45044,Auburn,USA,1994,1,23,80,13.5,3.7,1.5,0.7,0.033,0.114,0.195,0.567,0.084,1996-97
143,Wayman Tisdale,PHX,33,205.74,117.93392,Oklahoma,USA,1985,1,2,53,6.5,2.3,0.4,-3.5,0.052,0.127,0.253,0.441,0.045,1996-97
144,Walter McCarty,NYK,23,208.28,104.32616,Kentucky,USA,1996,1,19,35,1.8,0.7,0.4,3.2,0.056,0.08,0.217,0.431,0.116,1996-97
145,Walt Williams,TOR,27,203.2,104.32616,Maryland,USA,1992,1,7,73,16.4,5,2.7,-1.7,0.046,0.122,0.215,0.551,0.128,1996-97
